side_effect,comment,drug
irritability,"Zenzedi (dextroamphetamine) for ADHD""I'm 37, was diagnosed with ADHD at 9. My parents thought it was rubbish due to my grades and voracious reading, and that my typical ADHD (and ASD) traits were me being lazy, immature, bratty, or oversensitive. After two decades of life failure (grades don't predict success), I sought treatment. Only Zenzedi (NOT any of the generic d-amps) helped reliably with my inability to not procrastinate, interrupt, lose things, feel so overwhelmed that I avoided everything. Unfortunately, there is a shortage of this med and I've heard that it may be discontinued in favor of a new 'non-abusable' IR d,l-amp product by the pharma corp that makes Zenzedi! And like many medical decisions made in this era, citizens have no ability to change the outcome.""",dexstrostat
irritability,"Dexedrine (dextroamphetamine) for ADHD""Been on Vyvanse for 3 years, Adderall XL, & Adderall for another 3 years with limited success. I take a lot of other medications for mania & am always tired in addition to lacking focus... for the first time in years, I can watch a movie, read a book, make it through multitasking a workday. Maybe this is what normal is meant to feel like—a world without yawns and easy distractions? Have I truly found a way to make it through a two-hour movie? I think a new chapter in my life just opened...""",dexstrostat
irritability,"Dexedrine (dextroamphetamine) for ADHD""I have taken pretty much every type of medication for ADHD. Dextroamphetamine, by far, works best for me. While Adderall contains dextroamphetamine, the l-amphetamine, and it gives me very bad anxiety. Dextroamphetamine helps me focus without causing extra anxiety, and I prefer the instant release, which allows me to fall asleep. Ritalin caused anxiety even worse than Adderall did. One thing I recommend is to take a day or two off every week or so. If not, your tolerance might build up, and you might find the medication is not working. Also, you need to learn to pay attention to your body's other signals telling you when to eat. You probably will not feel hungry, and your stomach. This does not mean you don't need food, however.""",dexstrostat
irritability,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results.""",dexstrostat
irritability,"Dexedrine (dextroamphetamine) for ADHD""Have been on dextroamphetamine for a very long time for ADHD. Started with the name brand but switched to generic due to costs. Generics appear to vary widely. Neither Teva nor Aurobindo work for me at all. Worthless for me. Mallinckrodt works, as does the brand name, but I can't access Mallinckrodt. Someone has suggested Zenzedi (tablet, not capsule). It is a generic-simply named. Anyone have any experience with it? Anyone have a similar experience with Teva or Aurobindo? Either the inactive ingredients are sufficiently different to cause problems for me, or they don't include the same dosage of the active ingredient. Anyone know which? Dexedrine itself has made a huge difference in my life.""",dexstrostat
dizziness,"Dexedrine (dextroamphetamine) for ADHD""Been on Vyvanse for 3 years, Adderall XL, & Adderall for another 3 years with limited success. I take a lot of other medications for mania & am always tired in addition to lacking focus... for the first time in years, I can watch a movie, read a book, make it through multitasking a workday. Maybe this is what normal is meant to feel like—a world without yawns and easy distractions? Have I truly found a way to make it through a two-hour movie? I think a new chapter in my life just opened...""",dexstrostat
dizziness,"Zenzedi (dextroamphetamine) for ADHD""I'm 37, was diagnosed with ADHD at 9. My parents thought it was rubbish due to my grades and voracious reading, and that my typical ADHD (and ASD) traits were me being lazy, immature, bratty, or oversensitive. After two decades of life failure (grades don't predict success), I sought treatment. Only Zenzedi (NOT any of the generic d-amps) helped reliably with my inability to not procrastinate, interrupt, lose things, feel so overwhelmed that I avoided everything. Unfortunately, there is a shortage of this med and I've heard that it may be discontinued in favor of a new 'non-abusable' IR d,l-amp product by the pharma corp that makes Zenzedi! And like many medical decisions made in this era, citizens have no ability to change the outcome.""",dexstrostat
dizziness,"Dexedrine (dextroamphetamine) for ADHD""I have taken pretty much every type of medication for ADHD. Dextroamphetamine, by far, works best for me. While Adderall contains dextroamphetamine, the l-amphetamine, and it gives me very bad anxiety. Dextroamphetamine helps me focus without causing extra anxiety, and I prefer the instant release, which allows me to fall asleep. Ritalin caused anxiety even worse than Adderall did. One thing I recommend is to take a day or two off every week or so. If not, your tolerance might build up, and you might find the medication is not working. Also, you need to learn to pay attention to your body's other signals telling you when to eat. You probably will not feel hungry, and your stomach. This does not mean you don't need food, however.""",dexstrostat
dizziness,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results.""",dexstrostat
dizziness,"Dexedrine (dextroamphetamine) for ADHD""Adderall 30mg/day = you feel like a genius, work hard, EYES OPEN WIDE. But at the end of the work day, I still couldn't stop myself from falling asleep on the skytrain at around 4:30 pm when I try to read. Don't think it helped much with depression and anxiety. Dexedrine 3 10mg/day = You have tunnel vision, Focused, block out distractions, helps with my severe anxiety. I think the depression is pretty under control too. Can read all day if I want. Could have really used this when I began my studies, 4 years ago! Not a month ago, with one course.... Either one, I think you perform better at work and school, but Adderall just wore off, so studying after work, you would still need coffee, or a power nap""",dexstrostat
dyspnoea,"Zenzedi (dextroamphetamine) for ADHD""I'm 37, was diagnosed with ADHD at 9. My parents thought it was rubbish due to my grades and voracious reading, and that my typical ADHD (and ASD) traits were me being lazy, immature, bratty, or oversensitive. After two decades of life failure (grades don't predict success), I sought treatment. Only Zenzedi (NOT any of the generic d-amps) helped reliably with my inability to not procrastinate, interrupt, lose things, feel so overwhelmed that I avoided everything. Unfortunately, there is a shortage of this med and I've heard that it may be discontinued in favor of a new 'non-abusable' IR d,l-amp product by the pharma corp that makes Zenzedi! And like many medical decisions made in this era, citizens have no ability to change the outcome.""",dexstrostat
dyspnoea,"Dexedrine (dextroamphetamine) for ADHD""Been on Vyvanse for 3 years, Adderall XL, & Adderall for another 3 years with limited success. I take a lot of other medications for mania & am always tired in addition to lacking focus... for the first time in years, I can watch a movie, read a book, make it through multitasking a workday. Maybe this is what normal is meant to feel like—a world without yawns and easy distractions? Have I truly found a way to make it through a two-hour movie? I think a new chapter in my life just opened...""",dexstrostat
dyspnoea,"Dexedrine (dextroamphetamine) for ADHD""I have taken pretty much every type of medication for ADHD. Dextroamphetamine, by far, works best for me. While Adderall contains dextroamphetamine, the l-amphetamine, and it gives me very bad anxiety. Dextroamphetamine helps me focus without causing extra anxiety, and I prefer the instant release, which allows me to fall asleep. Ritalin caused anxiety even worse than Adderall did. One thing I recommend is to take a day or two off every week or so. If not, your tolerance might build up, and you might find the medication is not working. Also, you need to learn to pay attention to your body's other signals telling you when to eat. You probably will not feel hungry, and your stomach. This does not mean you don't need food, however.""",dexstrostat
dyspnoea,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results.""",dexstrostat
dyspnoea,"Dexedrine (dextroamphetamine) for ADHD""Adderall 30mg/day = you feel like a genius, work hard, EYES OPEN WIDE. But at the end of the work day, I still couldn't stop myself from falling asleep on the skytrain at around 4:30 pm when I try to read. Don't think it helped much with depression and anxiety. Dexedrine 3 10mg/day = You have tunnel vision, Focused, block out distractions, helps with my severe anxiety. I think the depression is pretty under control too. Can read all day if I want. Could have really used this when I began my studies, 4 years ago! Not a month ago, with one course.... Either one, I think you perform better at work and school, but Adderall just wore off, so studying after work, you would still need coffee, or a power nap""",dexstrostat
hypotension,"Zenzedi (dextroamphetamine) for ADHD""I'm 37, was diagnosed with ADHD at 9. My parents thought it was rubbish due to my grades and voracious reading, and that my typical ADHD (and ASD) traits were me being lazy, immature, bratty, or oversensitive. After two decades of life failure (grades don't predict success), I sought treatment. Only Zenzedi (NOT any of the generic d-amps) helped reliably with my inability to not procrastinate, interrupt, lose things, feel so overwhelmed that I avoided everything. Unfortunately, there is a shortage of this med and I've heard that it may be discontinued in favor of a new 'non-abusable' IR d,l-amp product by the pharma corp that makes Zenzedi! And like many medical decisions made in this era, citizens have no ability to change the outcome.""",dexstrostat
hypotension,"Dexedrine (dextroamphetamine) for ADHD""Been on Vyvanse for 3 years, Adderall XL, & Adderall for another 3 years with limited success. I take a lot of other medications for mania & am always tired in addition to lacking focus... for the first time in years, I can watch a movie, read a book, make it through multitasking a workday. Maybe this is what normal is meant to feel like—a world without yawns and easy distractions? Have I truly found a way to make it through a two-hour movie? I think a new chapter in my life just opened...""",dexstrostat
hypotension,"Dexedrine (dextroamphetamine) for ADHD""I have taken pretty much every type of medication for ADHD. Dextroamphetamine, by far, works best for me. While Adderall contains dextroamphetamine, the l-amphetamine, and it gives me very bad anxiety. Dextroamphetamine helps me focus without causing extra anxiety, and I prefer the instant release, which allows me to fall asleep. Ritalin caused anxiety even worse than Adderall did. One thing I recommend is to take a day or two off every week or so. If not, your tolerance might build up, and you might find the medication is not working. Also, you need to learn to pay attention to your body's other signals telling you when to eat. You probably will not feel hungry, and your stomach. This does not mean you don't need food, however.""",dexstrostat
hypotension,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results.""",dexstrostat
hypotension,"Dexedrine (dextroamphetamine) for ADHD""Adderall 30mg/day = you feel like a genius, work hard, EYES OPEN WIDE. But at the end of the work day, I still couldn't stop myself from falling asleep on the skytrain at around 4:30 pm when I try to read. Don't think it helped much with depression and anxiety. Dexedrine 3 10mg/day = You have tunnel vision, Focused, block out distractions, helps with my severe anxiety. I think the depression is pretty under control too. Can read all day if I want. Could have really used this when I began my studies, 4 years ago! Not a month ago, with one course.... Either one, I think you perform better at work and school, but Adderall just wore off, so studying after work, you would still need coffee, or a power nap""",dexstrostat
application site erythema,"Zenzedi (dextroamphetamine) for ADHD""I'm 37, was diagnosed with ADHD at 9. My parents thought it was rubbish due to my grades and voracious reading, and that my typical ADHD (and ASD) traits were me being lazy, immature, bratty, or oversensitive. After two decades of life failure (grades don't predict success), I sought treatment. Only Zenzedi (NOT any of the generic d-amps) helped reliably with my inability to not procrastinate, interrupt, lose things, feel so overwhelmed that I avoided everything. Unfortunately, there is a shortage of this med and I've heard that it may be discontinued in favor of a new 'non-abusable' IR d,l-amp product by the pharma corp that makes Zenzedi! And like many medical decisions made in this era, citizens have no ability to change the outcome.""",dexstrostat
application site erythema,"Dexedrine (dextroamphetamine) for ADHD""Been on Vyvanse for 3 years, Adderall XL, & Adderall for another 3 years with limited success. I take a lot of other medications for mania & am always tired in addition to lacking focus... for the first time in years, I can watch a movie, read a book, make it through multitasking a workday. Maybe this is what normal is meant to feel like—a world without yawns and easy distractions? Have I truly found a way to make it through a two-hour movie? I think a new chapter in my life just opened...""",dexstrostat
application site erythema,"Dexedrine (dextroamphetamine) for ADHD""I have taken pretty much every type of medication for ADHD. Dextroamphetamine, by far, works best for me. While Adderall contains dextroamphetamine, the l-amphetamine, and it gives me very bad anxiety. Dextroamphetamine helps me focus without causing extra anxiety, and I prefer the instant release, which allows me to fall asleep. Ritalin caused anxiety even worse than Adderall did. One thing I recommend is to take a day or two off every week or so. If not, your tolerance might build up, and you might find the medication is not working. Also, you need to learn to pay attention to your body's other signals telling you when to eat. You probably will not feel hungry, and your stomach. This does not mean you don't need food, however.""",dexstrostat
application site erythema,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results.""",dexstrostat
application site erythema,"Dexedrine (dextroamphetamine) for ADHD""Have been on dextroamphetamine for a very long time for ADHD. Started with the name brand but switched to generic due to costs. Generics appear to vary widely. Neither Teva nor Aurobindo work for me at all. Worthless for me. Mallinckrodt works, as does the brand name, but I can't access Mallinckrodt. Someone has suggested Zenzedi (tablet, not capsule). It is a generic-simply named. Anyone have any experience with it? Anyone have a similar experience with Teva or Aurobindo? Either the inactive ingredients are sufficiently different to cause problems for me, or they don't include the same dosage of the active ingredient. Anyone know which? Dexedrine itself has made a huge difference in my life.""",dexstrostat
irritability,"""The brand version of Intuniv has been extremely helpful for my son with helping him to moderate his ADHD behaviors. He was diagnosed with the hyperactive subtype, and the problematic behaviors all but disappeared while taking a daily 2mg dose. He has been taking Intuniv for over 4 years now with no observed side-effects.""",intuniv
irritability,"""No side effects on my six-year-old the first two weeks except for a tummy ache. The last two nights she has woke up screaming, completely tripping, throwing pillows, scratching her head, hallucinating, and seeing stuff. I do not recommend this pill to anyone, especially a kid. She is on the lowest dose, 1 mg. She won't be taking it anymore!""",intuniv
irritability,"""Intuniv worked terribly for me. I was prescribed it for ADHD, and it caused so many issues and fixed absolutely none. Dry mouth, low blood pressure (and in turn, dizziness and confusion), extreme tiredness no matter how much sleep I got, constipation, ear pain upon standing, painful dry eye, etc. I wouldn’t recommend.""",intuniv
irritability,"""I'd give this NEGATIVE stars if I could. It caused me to pass out when I got up to use the bathroom one night. I lost my sense of self, felt more tired than normal, had worse anxiety. I would not recommend this garbage drug.""",intuniv
irritability,"""My six-year-old son has been on Intuniv for 6 months. He has had an improvement in mood, attention, and hyperactivity. However, he is tired in the afternoons, and it is hard for him not to fall asleep due to how drowsy he is.""",intuniv
dizziness,"""Intuniv worked terribly for me. I was prescribed it for ADHD, and it caused so many issues and fixed absolutely none. Dry mouth, low blood pressure (and in turn, dizziness and confusion), extreme tiredness no matter how much sleep I got, constipation, ear pain upon standing, painful dry eye, etc. I wouldn’t recommend.""",intuniv
dizziness,"""I'd give this NEGATIVE stars if I could. It caused me to pass out when I got up to use the bathroom one night. I lost my sense of self, felt more tired than normal, had worse anxiety. I would not recommend this garbage drug.""",intuniv
dizziness,"""No side effects on my six-year-old the first two weeks except for a tummy ache. The last two nights she has woke up screaming, completely tripping, throwing pillows, scratching her head, hallucinating, and seeing stuff. I do not recommend this pill to anyone, especially a kid. She is on the lowest dose, 1 mg. She won't be taking it anymore!""",intuniv
dizziness,"""The brand version of Intuniv has been extremely helpful for my son with helping him to moderate his ADHD behaviors. He was diagnosed with the hyperactive subtype, and the problematic behaviors all but disappeared while taking a daily 2mg dose. He has been taking Intuniv for over 4 years now with no observed side-effects.""",intuniv
dizziness,"""I’ve been experiencing side effects that make my day-to-day life very difficult. I’m dizzy, I feel like my vision is blacking out when I walk, I’m extremely lethargic, and find myself sleeping all the time. I’ve been having stomach problems, a high heartbeat (and I thought Intuniv was supposed to subdue you), an extremely dry mouth, and so much anxiety. I haven’t even noticed any positive changes in my ability to focus since I’m constantly disoriented or asleep.""",intuniv
dyspnoea,"""Intuniv worked terribly for me. I was prescribed it for ADHD, and it caused so many issues and fixed absolutely none. Dry mouth, low blood pressure (and in turn, dizziness and confusion), extreme tiredness no matter how much sleep I got, constipation, ear pain upon standing, painful dry eye, etc. I wouldn’t recommend.""",intuniv
dyspnoea,"""The brand version of Intuniv has been extremely helpful for my son with helping him to moderate his ADHD behaviors. He was diagnosed with the hyperactive subtype, and the problematic behaviors all but disappeared while taking a daily 2mg dose. He has been taking Intuniv for over 4 years now with no observed side-effects.""",intuniv
dyspnoea,"""No side effects on my six-year-old the first two weeks except for a tummy ache. The last two nights she has woke up screaming, completely tripping, throwing pillows, scratching her head, hallucinating, and seeing stuff. I do not recommend this pill to anyone, especially a kid. She is on the lowest dose, 1 mg. She won't be taking it anymore!""",intuniv
dyspnoea,"""My six-year-old son has been on Intuniv for 6 months. He has had an improvement in mood, attention, and hyperactivity. However, he is tired in the afternoons, and it is hard for him not to fall asleep due to how drowsy he is.""",intuniv
dyspnoea,"""My 18-year-old ADHD plus anxiety daughter takes this med at bedtime. It has changed her life. You do have to start at the lowest dose and advance up to the therapeutic dose. You do have to stay well-hydrated to avoid constipation and low blood pressure. The trade-off in the loss of almost all of her anxiety behaviors and her eagerness to now seek out activities and social interaction outside the house is amazing. We could not have achieved this without the close monitoring of her pediatrician. Our insurance does cover the generic at a very reasonable co-pay.""",intuniv
hypotension,"""The brand version of Intuniv has been extremely helpful for my son with helping him to moderate his ADHD behaviors. He was diagnosed with the hyperactive subtype, and the problematic behaviors all but disappeared while taking a daily 2mg dose. He has been taking Intuniv for over 4 years now with no observed side-effects.""",intuniv
hypotension,"""My 18-year-old ADHD plus anxiety daughter takes this med at bedtime. It has changed her life. You do have to start at the lowest dose and advance up to the therapeutic dose. You do have to stay well-hydrated to avoid constipation and low blood pressure. The trade-off in the loss of almost all of her anxiety behaviors and her eagerness to now seek out activities and social interaction outside the house is amazing. We could not have achieved this without the close monitoring of her pediatrician. Our insurance does cover the generic at a very reasonable co-pay.""",intuniv
hypotension,"""Intuniv worked terribly for me. I was prescribed it for ADHD, and it caused so many issues and fixed absolutely none. Dry mouth, low blood pressure (and in turn, dizziness and confusion), extreme tiredness no matter how much sleep I got, constipation, ear pain upon standing, painful dry eye, etc. I wouldn’t recommend.""",intuniv
hypotension,"""No side effects on my six-year-old the first two weeks except for a tummy ache. The last two nights she has woke up screaming, completely tripping, throwing pillows, scratching her head, hallucinating, and seeing stuff. I do not recommend this pill to anyone, especially a kid. She is on the lowest dose, 1 mg. She won't be taking it anymore!""",intuniv
hypotension,"""Five days into starting on Intuniv XR (1 mg daily at bedtime) for mild hypertension, a massive panic attack occurred. I am a 52-year-old male with no prior history of such attacks. I stopped the medication the next day, but it continued at 100% intensity for five days straight. Sweating, shivers, tremors, moaning, racing pulse, hot flashes in face and extremities, tight sternum knot, stabbing pain in left chest. Constant feelings of hopelessness, despair, and suicide. Luckily, by day six it had dropped 50% strength, tapering off quickly at first, then more slowly over the next ten days. Three weeks later I still have palpitations and an inner tremor causing insomnia. The doctor refuses to believe it, but I'm convinced the drug caused the attack.""",intuniv
application site erythema,"""The brand version of Intuniv has been extremely helpful for my son with helping him to moderate his ADHD behaviors. He was diagnosed with the hyperactive subtype, and the problematic behaviors all but disappeared while taking a daily 2mg dose. He has been taking Intuniv for over 4 years now with no observed side-effects.""",intuniv
application site erythema,"""Intuniv worked terribly for me. I was prescribed it for ADHD, and it caused so many issues and fixed absolutely none. Dry mouth, low blood pressure (and in turn, dizziness and confusion), extreme tiredness no matter how much sleep I got, constipation, ear pain upon standing, painful dry eye, etc. I wouldn’t recommend.""",intuniv
application site erythema,"""My 18-year-old ADHD plus anxiety daughter takes this med at bedtime. It has changed her life. You do have to start at the lowest dose and advance up to the therapeutic dose. You do have to stay well-hydrated to avoid constipation and low blood pressure. The trade-off in the loss of almost all of her anxiety behaviors and her eagerness to now seek out activities and social interaction outside the house is amazing. We could not have achieved this without the close monitoring of her pediatrician. Our insurance does cover the generic at a very reasonable co-pay.""",intuniv
application site erythema,"""No side effects on my six-year-old the first two weeks except for a tummy ache. The last two nights she has woke up screaming, completely tripping, throwing pillows, scratching her head, hallucinating, and seeing stuff. I do not recommend this pill to anyone, especially a kid. She is on the lowest dose, 1 mg. She won't be taking it anymore!""",intuniv
application site erythema,"""I'd give this NEGATIVE stars if I could. It caused me to pass out when I got up to use the bathroom one night. I lost my sense of self, felt more tired than normal, had worse anxiety. I would not recommend this garbage drug.""",intuniv
irritability,"No experience with Granules but I know if I take the pills manufactured by Aurobindo versus Teva I’ll have an adverse reaction. Because of this, I get my medication from a pharmacy that’s not my preferred pharmacy my preferred pharmacy only distributes Aurobindo.",adderall
irritability,The info abt this Rx drug indicates that it can be a serious side  effect for some ppl  and that at high doses can cause amphetamine psychosis and other dangerous side effects. Each person responds to any  drug in their own unique way. It def is not an Rx to mess with altho ppl certainly do.,adderall
irritability,"I take l-theanine before bed. It helps me sleep. If you are getting a bad crash from adderall, you are taking too much. Try a lower dose. There is a sweet spot.",adderall
irritability,"On the first day, drink tons of water and go for a light jog if your body can handle it, luk warm to cold shower to shorten the withdrawal period. I am also on the 30 mg dosage. stay away from excessive coffee. tried to replaced adderral with coffee on my downtime had a massive nose bleed from high blood pressure.",adderall
irritability,"As a narcolepsy patient I cannot relate in any way to this statement.  If I’m not on Adderrall, then I’m simply not awake.  This shortage of the drug over the past 3-4 months has been hellish.",adderall
dizziness,"I take l-theanine before bed. It helps me sleep. If you are getting a bad crash from adderall, you are taking too much. Try a lower dose. There is a sweet spot.",adderall
dizziness,"No experience with Granules but I know if I take the pills manufactured by Aurobindo versus Teva I’ll have an adverse reaction. Because of this, I get my medication from a pharmacy that’s not my preferred pharmacy my preferred pharmacy only distributes Aurobindo.",adderall
dizziness,The info abt this Rx drug indicates that it can be a serious side  effect for some ppl  and that at high doses can cause amphetamine psychosis and other dangerous side effects. Each person responds to any  drug in their own unique way. It def is not an Rx to mess with altho ppl certainly do.,adderall
dizziness,"Likely absolutely nothing side effect wise. I started off at 10mg 3x a day and felt nothing lol 
Only thing is you might feel ever so slightly clearheaded? Kinda depends on what you’re taking it for. Nuero or mental?",adderall
dizziness,"On the first day, drink tons of water and go for a light jog if your body can handle it, luk warm to cold shower to shorten the withdrawal period. I am also on the 30 mg dosage. stay away from excessive coffee. tried to replaced adderral with coffee on my downtime had a massive nose bleed from high blood pressure.",adderall
dyspnoea,"No experience with Granules but I know if I take the pills manufactured by Aurobindo versus Teva I’ll have an adverse reaction. Because of this, I get my medication from a pharmacy that’s not my preferred pharmacy my preferred pharmacy only distributes Aurobindo.",adderall
dyspnoea,The info abt this Rx drug indicates that it can be a serious side  effect for some ppl  and that at high doses can cause amphetamine psychosis and other dangerous side effects. Each person responds to any  drug in their own unique way. It def is not an Rx to mess with altho ppl certainly do.,adderall
dyspnoea,"On the first day, drink tons of water and go for a light jog if your body can handle it, luk warm to cold shower to shorten the withdrawal period. I am also on the 30 mg dosage. stay away from excessive coffee. tried to replaced adderral with coffee on my downtime had a massive nose bleed from high blood pressure.",adderall
dyspnoea,"As a narcolepsy patient I cannot relate in any way to this statement.  If I’m not on Adderrall, then I’m simply not awake.  This shortage of the drug over the past 3-4 months has been hellish.",adderall
dyspnoea,"I take l-theanine before bed. It helps me sleep. If you are getting a bad crash from adderall, you are taking too much. Try a lower dose. There is a sweet spot.",adderall
application site erythema,"No experience with Granules but I know if I take the pills manufactured by Aurobindo versus Teva I’ll have an adverse reaction. Because of this, I get my medication from a pharmacy that’s not my preferred pharmacy my preferred pharmacy only distributes Aurobindo.",adderall
application site erythema,The info abt this Rx drug indicates that it can be a serious side  effect for some ppl  and that at high doses can cause amphetamine psychosis and other dangerous side effects. Each person responds to any  drug in their own unique way. It def is not an Rx to mess with altho ppl certainly do.,adderall
application site erythema,"Weight and Age, Health, taking it on empty stomach vs eating, etc. You have to make the benefit of the doubt with Adderall for its maximum performance for the solid 14 hours of being ZAPPED out your ass like myself at this very minute.",adderall
application site erythema,"As a narcolepsy patient I cannot relate in any way to this statement.  If I’m not on Adderrall, then I’m simply not awake.  This shortage of the drug over the past 3-4 months has been hellish.",adderall
application site erythema,"On the first day, drink tons of water and go for a light jog if your body can handle it, luk warm to cold shower to shorten the withdrawal period. I am also on the 30 mg dosage. stay away from excessive coffee. tried to replaced adderral with coffee on my downtime had a massive nose bleed from high blood pressure.",adderall
hypotension,The info abt this Rx drug indicates that it can be a serious side  effect for some ppl  and that at high doses can cause amphetamine psychosis and other dangerous side effects. Each person responds to any  drug in their own unique way. It def is not an Rx to mess with altho ppl certainly do.,adderall
hypotension,"No experience with Granules but I know if I take the pills manufactured by Aurobindo versus Teva I’ll have an adverse reaction. Because of this, I get my medication from a pharmacy that’s not my preferred pharmacy my preferred pharmacy only distributes Aurobindo.",adderall
hypotension,"On the first day, drink tons of water and go for a light jog if your body can handle it, luk warm to cold shower to shorten the withdrawal period. I am also on the 30 mg dosage. stay away from excessive coffee. tried to replaced adderral with coffee on my downtime had a massive nose bleed from high blood pressure.",adderall
hypotension,"I take l-theanine before bed. It helps me sleep. If you are getting a bad crash from adderall, you are taking too much. Try a lower dose. There is a sweet spot.",adderall
hypotension,"So, this was a question I had pondered for a long time. Why is it that Adderall and other drugs for that matter lose effect over time. And, how certain dietary changes can cause profound changes in the therapeutic effect experienced. 

The following study helps explain why a person with ADHD new to Adderall might not feel any effect and a person who has no cognitive issue might have an overwhelming effect. 

In the link below, blood serum pH (acidity or basicness) and the lower the pH the weaker the effect. This is why Tums potentiates Adderall, but if you raised the pH of the entire body the same dose might be hell and cause unpleasant things like tachycardia. 


https://www.researchgate.net/publication/340081430_Mechanistic_PBPK_Modeling_of_Urine_pH_Effect_on_Renal_and_Systemic_Disposition_of_Methamphetamine_and_Amphetamine#pf7",adderall
irritability,"It was dark outside. You probably had a crash which can make you anxious. Those most likely were not hallucinations, but your mind playing tricks and jumping to the worst case scenario. Been there done that",concerta
irritability,"54 in the morning. I try to do high protein for the first half of the day, start my day with electrolytes, and sleep at least 7-8 hours. When I sleep less, it really has no effect.",concerta
irritability,"No, side effects. Perhaps bodies adapt to the combo? Living in a wine producing region a glass or two of wine late afternoon/early evening is common. I was not even aware in the beginning that the two should not mix. Perhaps it affected me initially but not anymore. My wife would also quickly comment on it if she noticed my behaviour was unusual or I was getting to tipsy.",concerta
irritability,"Then it can't primarily be the Concerta.  If it were, the chest pain time of day would move, too.

What are you doing earlier in the day, regularly?  Are you having afternoon caffeine?  The conversion to norepinephrine about 5 hours later may very well give you anxiety and chest pain.",concerta
irritability,"You're so wrong, your endocannabinoid system changes and, when you quit, it takes a month (minimum) to restore. Also other parts of the nervous system make changes as serotonin, gaba, glutamate, dopamine.... So of course weed cause physical dependence and psychological too. Other thing is that dependence is lower when compared to other substances as nicotine or opioid but it is real and exist.",concerta
dizziness,"Then it can't primarily be the Concerta.  If it were, the chest pain time of day would move, too.

What are you doing earlier in the day, regularly?  Are you having afternoon caffeine?  The conversion to norepinephrine about 5 hours later may very well give you anxiety and chest pain.",concerta
dizziness,"It was dark outside. You probably had a crash which can make you anxious. Those most likely were not hallucinations, but your mind playing tricks and jumping to the worst case scenario. Been there done that",concerta
dizziness,"Sounds more like anxiety. Those are normal blood pressure readings - tho you need to know how to take them & space them apart for accuracy.

When my doctor checks my pulse, it goes high due to my anxiety with doctors. Pulse rates fluctuate and that’s normal. 

You should work on managing stress and anxiety such as with short guided meditations or even eft tapping. These can centre you & help your body find calm again.",concerta
dizziness,"No, side effects. Perhaps bodies adapt to the combo? Living in a wine producing region a glass or two of wine late afternoon/early evening is common. I was not even aware in the beginning that the two should not mix. Perhaps it affected me initially but not anymore. My wife would also quickly comment on it if she noticed my behaviour was unusual or I was getting to tipsy.",concerta
dizziness,"""I was diagnosed with mixed-type ADHD at 25, far later than most. I started at 18 mg and have been slowly bumped up to 36 mg. Overall, my working/short-term memory, energy levels, and mood have improved moderately. Unfortunately, I somehow burn through the medication in less than 6 hours and crash halfway through work almost every day. This drug has helped a lot, but it isn't perfect for my brain chemistry.""",concerta
dyspnoea,"Then it can't primarily be the Concerta.  If it were, the chest pain time of day would move, too.

What are you doing earlier in the day, regularly?  Are you having afternoon caffeine?  The conversion to norepinephrine about 5 hours later may very well give you anxiety and chest pain.",concerta
dyspnoea,"Sounds more like anxiety. Those are normal blood pressure readings - tho you need to know how to take them & space them apart for accuracy.

When my doctor checks my pulse, it goes high due to my anxiety with doctors. Pulse rates fluctuate and that’s normal. 

You should work on managing stress and anxiety such as with short guided meditations or even eft tapping. These can centre you & help your body find calm again.",concerta
dyspnoea,"54 in the morning. I try to do high protein for the first half of the day, start my day with electrolytes, and sleep at least 7-8 hours. When I sleep less, it really has no effect.",concerta
