index,Drug Name,Review Text,cleaned_comments,side_effects
91,concerta,"""I'm 18 years old and have been prescribed 74 mg of Concerta a day. Three pills in the morning and one in the afternoon if needed. I had been diagnosed with severe ADHD, and this drug has changed the way I learn and study dramatically. It's amazing how confident and focused I am now. I always feel so good on it too, until I'm starving to death. Concerta absolutely kills your appetite. The sad part is I cannot even force myself to eat, and it has already taken a toll on my weight. I have always been insecure about my body, so it is nice losing the extra pounds, however, I don't enjoy talking to anyone at school anymore. Even though I feel good all during the school day, I am quiet and hungry.""",im years old and have been prescribed mg of concerta a day three pills in the morning and one in the afternoon if needed i had been diagnosed with severe adhd and this drug has changed the way i learn and study dramatically its amazing how confident and focused i am now i always feel so good on it too until im starving to death concerta absolutely kills your appetite the sad part is i cannot even force myself to eat and it has already taken a toll on my weight i have always been insecure about my body so it is nice losing the extra pounds however i dont enjoy talking to anyone at school anymore even though i feel good all during the school day i am quiet and hungry,[]
93,concerta,"""***GAME CHANGER*** My 11-year-old daughter was failing 5th grade last year because she couldn't keep up with tasks and organization that 5th grade required. She is now in 6th grade with high B's & A's. I am 37 and I am unorganized, unable to focus, I get overwhelmed and anxious. I started Concerta back in September 2023 and it has changed my life. I no longer have the racing self-sabotaging thoughts and can finish tasks and have a conversation without being all over the place.""",game changer my year old daughter was failing th grade last year because she couldnt keep up with tasks and organization that th grade required she is now in th grade with high bs as i am and i am unorganized unable to focus i get overwhelmed and anxious i started concerta back in september and it has changed my life i no longer have the racing self sabotaging thoughts and can finish tasks and have a conversation without being all over the place,['drug ineffective']
99,concerta,"""I'm 18F with strong hyperactivity, less issues on the inattentive side. My main reason to pursue medication for ADHD was that my brain was so disorganized that it made it hard to remember things, do tasks correctly, and work up the motivation to do things. Adderall slowed down my brain in a way that was unnerving. I owe a lot of my exercise, conversational skills, and artistic passion to my hyperactivity, so that wasn't an option. I started 18mg Concerta, and it wasn't a huge difference in the way I thought, but it made my brain just organized enough to allow me to reap the benefits of my ADHD without being overwhelmed by everyday responsibilities! It also has no withdrawal (apart from ADHD symptoms worsening) making it a low-risk treatment that you can easily discontinue in the event of an emergency. Higher doses will definitely make it hard to eat, though! I also do have trouble sleeping on it if I take it too late, so I set an alarm for 7:30 am every morning to take it.""",im f with strong hyperactivity less issues on the inattentive side my main reason to pursue medication for adhd was that my brain was so disorganized that it made it hard to remember things do tasks correctly and work up the motivation to do things adderall slowed down my brain in a way that was unnerving i owe a lot of my exercise conversational skills and artistic passion to my hyperactivity so that wasnt an option i started mg concerta and it wasnt a huge difference in the way i thought but it made my brain just organized enough to allow me to reap the benefits of my adhd without being overwhelmed by everyday responsibilities it also has no withdrawal apart from adhd symptoms worsening making it a low risk treatment that you can easily discontinue in the event of an emergency higher doses will definitely make it hard to eat though i also do have trouble sleeping on it if i take it too late so i set an alarm for am every morning to take it,[]
100,concerta,"For Fatigue""I was prescribed Concerta to offset the drowsiness from the Abilify I take in conjunction with Lexapro. I have suffered from major depression since I was about 19 and have been on every SSRI on the market as well as Wellbutrin to treat my depression, and nothing has helped me more than Concerta. I only take 18 mg twice a day (I'm 34), and while the anti-depressants make me lethargic and were causing my work to suffer, the Concerta has been a real lifesaver. I've only been on it a few months and haven't really suffered from any negative side effects (haven't really lost any weight yet), and am planning on discussing discontinuing the Lexapro and Abilify with my psychiatrist since the Concerta has had such a positive impact on my depression.""",for fatiguei was prescribed concerta to offset the drowsiness from the abilify i take in conjunction with lexapro i have suffered from major depression since i was about and have been on every ssri on the market as well as wellbutrin to treat my depression and nothing has helped me more than concerta i only take mg twice a day im and while the anti depressants make me lethargic and were causing my work to suffer the concerta has been a real lifesaver ive only been on it a few months and havent really suffered from any negative side effects havent really lost any weight yet and am planning on discussing discontinuing the lexapro and abilify with my psychiatrist since the concerta has had such a positive impact on my depression,[]
101,concerta,"""I was put on Ritalin 10 mg three times a day, then on Concerta 27 mg. I didn't have any side effects until I went to 36 mg, and I was only losing my appetite. I went back down, and it still is really helping my concentration. I finish my work on time and am able to work to a higher level of work.""",i was put on ritalin mg three times a day then on concerta mg i didnt have any side effects until i went to mg and i was only losing my appetite i went back down and it still is really helping my concentration i finish my work on time and am able to work to a higher level of work,['drug ineffective']
105,concerta,"""I'm 17 and have been taking this for about a month now for ADHD. I started at small doses of Ritalin (10 mg) and then moved to 20 mg. My doctor thought it would be easier to just put me on Concerta since it's 18 mg a pill. I then took 36 mg of Concerta, which didn't work out. I got major irritability and started feeling depressed. Even my focus was off. I went back down to 18 mg and it's working much better. No irritability, depression feeling. Make sure you're on the right dose for your body. Too much can do more harm and too little may not do anything.""",im and have been taking this for about a month now for adhd i started at small doses of ritalin mg and then moved to mg my doctor thought it would be easier to just put me on concerta since its mg a pill i then took mg of concerta which didnt work out i got major irritability and started feeling depressed even my focus was off i went back down to mg and its working much better no irritability depression feeling make sure youre on the right dose for your body too much can do more harm and too little may not do anything,[]
106,concerta,"""I am a 20 y/o girl. I was on 54 mg of Concerta once a day. This drug was the worst thing that's ever happened to me. It did help my grades, but I felt most of it was placebo, and the fact that the side effects were so horrible, I wanted to focus on work to distract myself. It made my anxiety unbearable and constant. My heart beat in my head. My whole left arm and pinky would feel numb and prickly. I knew I was hungry but could not eat and was disgusted by food. I fell into a horrible depression and felt just overwhelming darkness. The pros were that it made sitting in long classes and retaining information much easier. I felt excited about learning and getting work done. Overall, it helped with school, but the side effects are not worth it.""",i am a yo girl i was on mg of concerta once a day this drug was the worst thing thats ever happened to me it did help my grades but i felt most of it was placebo and the fact that the side effects were so horrible i wanted to focus on work to distract myself it made my anxiety unbearable and constant my heart beat in my head my whole left arm and pinky would feel numb and prickly i knew i was hungry but could not eat and was disgusted by food i fell into a horrible depression and felt just overwhelming darkness the pros were that it made sitting in long classes and retaining information much easier i felt excited about learning and getting work done overall it helped with school but the side effects are not worth it,[]
114,concerta,"""Some of these experiences are quite alarming! I never experienced the really harsh side effects such as depression, suicidal thoughts, and any other bad side effects. I've been taking Concerta ever since I was 8. I was taken off of Concerta when I was 21, and I actually went downhill after that. I lost a lot of my friends, and I can't control my thoughts, daydreams, and mood swings, and my performance at my job declined rapidly to the point where I almost lost it. I am 23 now and just got back on Concerta and am super happy with how it has organized my mind!""",some of these experiences are quite alarming i never experienced the really harsh side effects such as depression suicidal thoughts and any other bad side effects ive been taking concerta ever since i was i was taken off of concerta when i was and i actually went downhill after that i lost a lot of my friends and i cant control my thoughts daydreams and mood swings and my performance at my job declined rapidly to the point where i almost lost it i am now and just got back on concerta and am super happy with how it has organized my mind,[]
115,concerta,"""I am 18 years old. I took this medication for 2 years, if I remember correctly, in elementary. Yes, it helped me focus better in school somewhat, but at the same time it had taken my appetite away, gave me insomnia, stomach cramps, mood swings, and hallucinations. If I skipped a dose, I would get physically sick. I would NOT recommend this medication.""",i am years old i took this medication for years if i remember correctly in elementary yes it helped me focus better in school somewhat but at the same time it had taken my appetite away gave me insomnia stomach cramps mood swings and hallucinations if i skipped a dose i would get physically sick i would not recommend this medication,['drug ineffective']
119,concerta,"""I am 34 years old. I started with 27 mg. Over several weeks, I worked up to 36 mg in the morning, then 10 mg in mid-afternoon. My husband has seen an improvement in my mood. I feel less angry and better able to cope with daily life. I stay awake during the day now (I was very fatigued pre-Concerta and sleeping a lot). I am sleeping the best I ever have at night. My mind doesn't race as much as it used to. I still experience anxiety, but it hasn't increased since Concerta. I get more headaches, and I seem to continuously suck and rub my tongue on the inside of my mouth. It annoys me and causes tongue ulcers, but I guess it is a small price to pay.""",i am years old i started with mg over several weeks i worked up to mg in the morning then mg in mid afternoon my husband has seen an improvement in my mood i feel less angry and better able to cope with daily life i stay awake during the day now i was very fatigued pre concerta and sleeping a lot i am sleeping the best i ever have at night my mind doesnt race as much as it used to i still experience anxiety but it hasnt increased since concerta i get more headaches and i seem to continuously suck and rub my tongue on the inside of my mouth it annoys me and causes tongue ulcers but i guess it is a small price to pay,[]
120,concerta,"""Started Concerta 5 weeks ago. Started with a 'pediatric' dose (I'm almost 40) and worked up to 54 mg. LOVE that I can finally focus and finish tasks, work is getting completed, my lists are getting checked off, and I'm making it to appointments on time. THEN...2 weeks ago, slight insomnia started to get worse, and minor anxiety...thought it was various life issues I was dealing with. Tonight...I'm dealing with severe insomnia and anxiety so bad I can barely sit and research my problem. I have a check-up with my doctor in 2 weeks, I'm calling tomorrow to get in sooner. I'm very upset as it solved my ADD problems and thought I started a new life...I do not want to start the trial and error roller coaster all over.""",started concerta weeks ago started with a pediatric dose im almost and worked up to mg love that i can finally focus and finish tasks work is getting completed my lists are getting checked off and im making it to appointments on time then weeks ago slight insomnia started to get worse and minor anxietythought it was various life issues i was dealing with tonightim dealing with severe insomnia and anxiety so bad i can barely sit and research my problem i have a check up with my doctor in weeks im calling tomorrow to get in sooner im very upset as it solved my add problems and thought i started a new lifei do not want to start the trial and error roller coaster all over,[]
124,concerta,"""Since starting Concerta a year and a half ago, everything from being impulsive and lousy concentrating is ten times better, although I still suffer from time to time, and every workday is a challenge, but it simply makes everything easier!""",since starting concerta a year and a half ago everything from being impulsive and lousy concentrating is ten times better although i still suffer from time to time and every workday is a challenge but it simply makes everything easier,['drug ineffective']
56,concerta,"When you say you can’t understand what you’re doing, do you mean you can see yourself doing things but feel a bit separated from them? I’m just guessing but I had that thing that I’m describing for a few days. I was thinking “ who decided that I should do this thing I’m doing? and where are these words coming from that I’m saying!? “ It was weird but it went away after a few days.",when you say you cant understand what youre doing do you mean you can see yourself doing things but feel a bit separated from them im just guessing but i had that thing that im describing for a few days i was thinking who decided that i should do this thing im doing and where are these words coming from that im saying it was weird but it went away after a few days,[]
58,concerta,"I had to quit the drug as soon as I got moved up to 27mg. Same problem, I ended up just giving up on adhd meds altogether. Can’t get the ones that worked for me in the past.",i had to quit the drug as soon as i got moved up to mg same problem i ended up just giving up on adhd meds altogether cant get the ones that worked for me in the past,['drug ineffective']
64,concerta,"For me, WHAT i was eating is the reason I had the gag reflex. I can't eat anything with gluten anyway because I have Celiacs, but I'm also hypoglycemic and can't have sugar so I eat alot of non-sugar sweeteners. Now those sweeteners make me gag SO BAD.
I can drink broth, eat meat and veggies no problem. I can make home made cookies with allulose, but I gag on literally anything else. 
If I were you I'd try super whole foods like chicken and avocado to start, or even just some soup.",for me what i was eating is the reason i had the gag reflex i cant eat anything with gluten anyway because i have celiacs but im also hypoglycemic and cant have sugar so i eat alot of non sugar sweeteners now those sweeteners make me gag so bad i can drink broth eat meat and veggies no problem i can make home made cookies with allulose but i gag on literally anything else if i were you id try super whole foods like chicken and avocado to start or even just some soup,[]
74,concerta,"Not available here.  We only import 18, 36, 52. 18 worked fine but there's a shortage and I can never find it, that's why we upped it, because no concerta is no option, it's the only formulation of this drug in this country and atomoxetine doesn't work. Wellbutrin helps very little and in the winter I get so depressed even that barely does anything. I tried other antidepressants on top of it, i don't get along with them.

Anyway, not the point, I'll be talking to my doctor I was just curious if it's just me.

[Clarification: I am not being treated with Concerta for depression, they're just comorbid and  the meds interact, and bupropion (Wellbutrin) is often used for adhd off-label.]",not available here we only import worked fine but theres a shortage and i can never find it thats why we upped it because no concerta is no option its the only formulation of this drug in this country and atomoxetine doesnt work wellbutrin helps very little and in the winter i get so depressed even that barely does anything i tried other antidepressants on top of it i dont get along with them anyway not the point ill be talking to my doctor i was just curious if its just me clarification i am not being treated with concerta for depression theyre just comorbid and the meds interact and bupropion wellbutrin is often used for adhd off label,[]
78,concerta,"Atomoxetine made me feel so angry all the time.  And the idiot treating me back then said I can't take Concerta then cos it'll do the same.
They're different chemical mechanisms, it *cannot*!
Anyway, concerta 18 and welbutrin 300 was fucking magical for me. Concerta by itself did not work, 18 was too little and 36 was too much, I'm taking other stuff to manage the weird anxiety I get from having to take it 36 now, I can't wait to go down when I find the 18 again.

Every doctor ever accusing me of drug-seeking should have their license revoked, I'm actively trying to take *less* stuff.",atomoxetine made me feel so angry all the time and the idiot treating me back then said i cant take concerta then cos itll do the same theyre different chemical mechanisms it cannot anyway concerta and welbutrin was fucking magical for me concerta by itself did not work was too little and was too much im taking other stuff to manage the weird anxiety i get from having to take it now i cant wait to go down when i find the again every doctor ever accusing me of drug seeking should have their license revoked im actively trying to take less stuff,[]
81,concerta,"personally i find that if i take my concerta around 7:30 in the morning, it’s completely worn off by the evening. if i go out for drinks, i don’t find it has much effect. there have been days that i took my concerta late and got a drink around maybe 2 or 3 pm, and i found it didn’t get me near as buzzed. as long as you’re drinking after your meds have worn off, you should be fine in moderation. if you think they’re still kicking, just be careful, as stimulants can raise your tolerance and make you drink more to get the same effect.",personally i find that if i take my concerta around in the morning its completely worn off by the evening if i go out for drinks i dont find it has much effect there have been days that i took my concerta late and got a drink around maybe or pm and i found it didnt get me near as buzzed as long as youre drinking after your meds have worn off you should be fine in moderation if you think theyre still kicking just be careful as stimulants can raise your tolerance and make you drink more to get the same effect,[]
87,concerta,"When I first started concerta and had a beer after work, it took me over an hour to finish it, because the alcohol hit me so hard lol
I had been on 18mg for 2 or 3 weeks. 

Now i‘m on 54mg and can have alcohol in the evening when I take then in the morning. 

Just start slowly, don’t overdo it and see how you feel. And don’t feel ashamed to just not finish your drink if it makes you feel bad",when i first started concerta and had a beer after work it took me over an hour to finish it because the alcohol hit me so hard lol i had been on mg for or weeks now im on mg and can have alcohol in the evening when i take then in the morning just start slowly dont overdo it and see how you feel and dont feel ashamed to just not finish your drink if it makes you feel bad,[]
102,concerta,"Does he take the whole dose in the morning? I find I get an early crash so I take 1-2 ritalin boosters in the afternoon and evening to stay focused. If it's wearing off really early for him, possibly a second pill taken later in the day would be a better answer than increasing the morning dosage.

I don't find that increasing the dosage of a single concerta pill actually causes it to last that much longer. It just makes the initial peak higher and the crash worse at a certain point, and increases my anxiety.

I'd see if he does better on a lower dose spaced out throughout the day (ie, two concerta at a lower dose, taken morning and afternoon, rather than one at a much higher dose)",does he take the whole dose in the morning i find i get an early crash so i take ritalin boosters in the afternoon and evening to stay focused if its wearing off really early for him possibly a second pill taken later in the day would be a better answer than increasing the morning dosage i dont find that increasing the dosage of a single concerta pill actually causes it to last that much longer it just makes the initial peak higher and the crash worse at a certain point and increases my anxiety id see if he does better on a lower dose spaced out throughout the day ie two concerta at a lower dose taken morning and afternoon rather than one at a much higher dose,[]
121,concerta,Same. Higher dose of concerta for me didn't work. Ritalin worked much better. The downside is having to take it every 4 hours. I just don't want to. For no reason.. even though it makes me calmer/relaxed/lower heart rate... It's like i feel forced to have energy/do more etc and some days I don't want to 😑 thanks brain ,same higher dose of concerta for me didnt work ritalin worked much better the downside is having to take it every hours i just dont want to for no reason even though it makes me calmerrelaxedlower heart rate its like i feel forced to have energydo more etc and some days i dont want to thanks brain,[]
124,concerta,"So sorry! I had appointments galore today for his siblings as well! He does have ODD, and SPD. No he doesn’t have ASD. I work with ASD children and know what to look for in that sense, but he sees a regular paediatric doctor only not a family doctor technically that’s his and his sisters family doctor. 
We do have a family history of ADHD, as well as ODD. Out of 5 children 4 are diagnosed with one that is being assessed right now. Father, grandmother and uncles all have it. I was recently diagnosed as of last year I was just the chatty Kathy in school. 
He does get breaks from his medication. That is why we are getting bloodwork to check different possible issues. His doctor is wondering if it could be pituitary, diabetes and a bunch of other things.  No he’s not on any other medication he was on intuitive for a little bit, but it did cause low blood pressure and a few fainting spells and we took him off.",so sorry i had appointments galore today for his siblings as well he does have odd and spd no he doesnt have asd i work with asd children and know what to look for in that sense but he sees a regular paediatric doctor only not a family doctor technically thats his and his sisters family doctor we do have a family history of adhd as well as odd out of children are diagnosed with one that is being assessed right now father grandmother and uncles all have it i was recently diagnosed as of last year i was just the chatty kathy in school he does get breaks from his medication that is why we are getting bloodwork to check different possible issues his doctor is wondering if it could be pituitary diabetes and a bunch of other things no hes not on any other medication he was on intuitive for a little bit but it did cause low blood pressure and a few fainting spells and we took him off,[]
138,concerta,Was never into cannabis really but I use to smoke. 15 years ago they didn’t warn you not to drink or smoke on these meds and I definitely smoked and a lot.  Worse if I EVER had a drink.  I have been quit almost 10 years now and the urge is completely gone.,was never into cannabis really but i use to smoke years ago they didnt warn you not to drink or smoke on these meds and i definitely smoked and a lot worse if i ever had a drink i have been quit almost years now and the urge is completely gone,['drug ineffective']
141,concerta,"Must be something to do with dopamine. Smoking nicotine/vape stimulates dopamine but weed doesn't I guess.

OP if you want to quit something that is a big dopamine hit, you have to replace it with another. Which means some kind of hobby you really enjoy, usually. But I smoked for a decade, I know it's not easy. Good luck.",must be something to do with dopamine smoking nicotinevape stimulates dopamine but weed doesnt i guess op if you want to quit something that is a big dopamine hit you have to replace it with another which means some kind of hobby you really enjoy usually but i smoked for a decade i know its not easy good luck,['drug ineffective']
146,concerta,Ηave you been taking concerta for 10 years now? How is that like? I started it 2 weeks ago and I’m worried it will stop working or that I won’t be able to take it for a long time.,ηave you been taking concerta for years now how is that like i started it weeks ago and im worried it will stop working or that i wont be able to take it for a long time,[]
148,concerta,"You're so wrong, your endocannabinoid system changes and, when you quit, it takes a month (minimum) to restore. Also other parts of the nervous system make changes as serotonin, gaba, glutamate, dopamine.... So of course weed cause physical dependence and psychological too. Other thing is that dependence is lower when compared to other substances as nicotine or opioid but it is real and exist.",youre so wrong your endocannabinoid system changes and when you quit it takes a month minimum to restore also other parts of the nervous system make changes as serotonin gaba glutamate dopamine so of course weed cause physical dependence and psychological too other thing is that dependence is lower when compared to other substances as nicotine or opioid but it is real and exist,['drug ineffective']
155,concerta,"Sleep & food matter a lot. These aren’t little problems. They are big ones.

I’ll suggest weekly therapy appointments. Then you have someone to bounce ideas off of & holds you accountable to trying them out since you’ll see them next week to let them know how it went. If the first idea(s) don’t work, keep trying.

5 hours of sleep a night & unintentionally losing 2lbs a week is unhealthy, unsustainable, & a big problem.

Additionally, many feel that concerta works a lot better when properly slept & fed. 

You might also consider going back to 36mg. If you can eat/sleep well on that dose, the overall benefit you get might feel the same.",sleep food matter a lot these arent little problems they are big ones ill suggest weekly therapy appointments then you have someone to bounce ideas off of holds you accountable to trying them out since youll see them next week to let them know how it went if the first ideas dont work keep trying hours of sleep a night unintentionally losing lbs a week is unhealthy unsustainable a big problem additionally many feel that concerta works a lot better when properly slept fed you might also consider going back to mg if you can eatsleep well on that dose the overall benefit you get might feel the same,[]
156,concerta,"my intention is to start going to the gym for this reason too. i found having long walks help with the appetite and sleep issue. also with the postcrash doom.

OP, sucks having messy patterns and not being able to enjoy eating or sleeping only makes it more difficult, but maybe a bit of movement could help you. 50 minutes of walking in the park usually helps me.

also consider lowering your dose. i had to do it. it's not funny when your performance at work worsens but health is priority. it's uncomfortable saying the following because shouldn't be the main point but... if you don't take care, you won't be able to work either way.",my intention is to start going to the gym for this reason too i found having long walks help with the appetite and sleep issue also with the postcrash doom op sucks having messy patterns and not being able to enjoy eating or sleeping only makes it more difficult but maybe a bit of movement could help you minutes of walking in the park usually helps me also consider lowering your dose i had to do it its not funny when your performance at work worsens but health is priority its uncomfortable saying the following because shouldnt be the main point but if you dont take care you wont be able to work either way,['drug ineffective']
189,concerta,"""I tend to be very irritable and have horrible brain fog and fatigue""

you want this? why are you being invalidating and minimalizing now? is it too fun and quirky to you? you think our struggle is a joke? im literally irritated and shaking and then i read someone saying ""uwu why i dont have dis 😭😭😭""",i tend to be very irritable and have horrible brain fog and fatigue you want this why are you being invalidating and minimalizing now is it too fun and quirky to you you think our struggle is a joke im literally irritated and shaking and then i read someone saying uwu why i dont have dis,['drug ineffective']
193,concerta,"Same.. I HAVE to eat on Concerta or else I feel awful. Stomach pain, nausea, irritability. I don't necessarily get hungry, but when I start feeling yucky, I know it's time for me to eat and then I'm usually okay again. Lol",same i have to eat on concerta or else i feel awful stomach pain nausea irritability i dont necessarily get hungry but when i start feeling yucky i know its time for me to eat and then im usually okay again lol,['drug ineffective']
195,concerta,"There are others who also eat more on Concerta. There are some who have a real issue with finding an appetite, and there are some who have both, where they don't have an appetite while the meds are active but binge because they feel like they're starving when it wears off. I'm one of the no appetite/no binging people. It's a drag. I used to like food, and now I don't care, plus I have less energy because I don't eat properly. It's such a balancing act.",there are others who also eat more on concerta there are some who have a real issue with finding an appetite and there are some who have both where they dont have an appetite while the meds are active but binge because they feel like theyre starving when it wears off im one of the no appetiteno binging people its a drag i used to like food and now i dont care plus i have less energy because i dont eat properly its such a balancing act,['drug ineffective']
204,concerta,"Stick with it for at least a week.  The side effects disappear for most.  If they don't, then think about switching it up.

In the meantime, also be looking at the 3 pillars of methylphenidate:  Sleep, protein and exercise.

If you're not doing those three things in good amounts, this drug will do you dirty.  The side effects get greatly amplified and lots of the benefits just stop working.",stick with it for at least a week the side effects disappear for most if they dont then think about switching it up in the meantime also be looking at the pillars of methylphenidate sleep protein and exercise if youre not doing those three things in good amounts this drug will do you dirty the side effects get greatly amplified and lots of the benefits just stop working,['drug ineffective']
209,concerta,"It was dark outside. You probably had a crash which can make you anxious. Those most likely were not hallucinations, but your mind playing tricks and jumping to the worst case scenario. Been there done that",it was dark outside you probably had a crash which can make you anxious those most likely were not hallucinations but your mind playing tricks and jumping to the worst case scenario been there done that,['drug ineffective']
210,concerta,"Sounds more like anxiety. Those are normal blood pressure readings - tho you need to know how to take them & space them apart for accuracy.

When my doctor checks my pulse, it goes high due to my anxiety with doctors. Pulse rates fluctuate and that’s normal. 

You should work on managing stress and anxiety such as with short guided meditations or even eft tapping. These can centre you & help your body find calm again.",sounds more like anxiety those are normal blood pressure readings tho you need to know how to take them space them apart for accuracy when my doctor checks my pulse it goes high due to my anxiety with doctors pulse rates fluctuate and thats normal you should work on managing stress and anxiety such as with short guided meditations or even eft tapping these can centre you help your body find calm again,['drug ineffective']
216,concerta,"You should learn how to recognize what's real. If the thing you see/feel is actually possible or not. Even with the fear, say to yourself; Isn't this bizare? Ideally, laugh at the fact, that it's just crazy. If you're even thinking about your sanity, you're fine. A crazy person wouldn't think like that. It sounded like a comedown, you will be fine.",you should learn how to recognize whats real if the thing you seefeel is actually possible or not even with the fear say to yourself isnt this bizare ideally laugh at the fact that its just crazy if youre even thinking about your sanity youre fine a crazy person wouldnt think like that it sounded like a comedown you will be fine,['drug ineffective']
220,concerta,"54 in the morning. I try to do high protein for the first half of the day, start my day with electrolytes, and sleep at least 7-8 hours. When I sleep less, it really has no effect.",in the morning i try to do high protein for the first half of the day start my day with electrolytes and sleep at least hours when i sleep less it really has no effect,['drug ineffective']
228,concerta,"For me on the daily 54mg but I have found some days 72mg is amazing but some time I will go down to 36mg or even 18mg.

I don’t find going down in does is particularly bad if I am not doing anything but not taking it is an absolutely awful for me.",for me on the daily mg but i have found some days mg is amazing but some time i will go down to mg or even mg i dont find going down in does is particularly bad if i am not doing anything but not taking it is an absolutely awful for me,[]
230,concerta,"I was on 18 for 7 days, then over the phone he told me to double the 18s on Friday.  I tried calling to tell him to switch me into something else.... but he called out sick.  

I must be patient.",i was on for days then over the phone he told me to double the s on friday i tried calling to tell him to switch me into something else but he called out sick i must be patient,['drug ineffective']
244,concerta,"I started with 54 due to the mg for kg of weight. After about 6 years I chatted with my doctor to lower it. I now do 36 mg on normal work days and 18 mg on “social” work days (e.g. international trips, summits, fridays, etc)",i started with due to the mg for kg of weight after about years i chatted with my doctor to lower it i now do mg on normal work days and mg on social work days eg international trips summits fridays etc,['drug ineffective']
247,concerta,This is really interesting. I\`m on 54mg for the last 2 months. It had great effects initially but recently it\`s not as good as before. Though my sleep schedule was horrible this last month. Didn\`t know it can have an effect. Do you know if this is common with others as well?,this is really interesting im on mg for the last months it had great effects initially but recently its not as good as before though my sleep schedule was horrible this last month didnt know it can have an effect do you know if this is common with others as well,['drug ineffective']
261,concerta,I’m on Wellbutrin and concerta too. I was also taking lamitrigine but I’m going to stop that one - tends to make the crash from concerta if I stay up late much worse,im on wellbutrin and concerta too i was also taking lamitrigine but im going to stop that one tends to make the crash from concerta if i stay up late much worse,['drug ineffective']
263,concerta,"For me, it had an effect right away, although subtle. It got really quiet inside my head and I could finally just didn't stuff without procrastinating it to hell. The effect diminished a bit (been a week) but it's still there. You should talk to your doctor, the dose might be indeed too low",for me it had an effect right away although subtle it got really quiet inside my head and i could finally just didnt stuff without procrastinating it to hell the effect diminished a bit been a week but its still there you should talk to your doctor the dose might be indeed too low,['drug ineffective']
288,concerta,"Hope it goes away for you, maybe I will try to stick it out for a week as well, as normally I just freak out and stop taking them a couple days of chest pains in.",hope it goes away for you maybe i will try to stick it out for a week as well as normally i just freak out and stop taking them a couple days of chest pains in,['drug ineffective']
299,concerta,"Then it can't primarily be the Concerta.  If it were, the chest pain time of day would move, too.

What are you doing earlier in the day, regularly?  Are you having afternoon caffeine?  The conversion to norepinephrine about 5 hours later may very well give you anxiety and chest pain.",then it cant primarily be the concerta if it were the chest pain time of day would move too what are you doing earlier in the day regularly are you having afternoon caffeine the conversion to norepinephrine about hours later may very well give you anxiety and chest pain,['drug ineffective']
309,concerta,"this is exactly how Elvanse made me feel, I also have anxiety issues but it got more manageable while it was active, but even after weeks and a dosage change the ""crash"" persisted, it might just not be the best for you (I took Concerta for the first time today exactly because of that, Elvanse wasn't for me)

edit: Elvanse is the european name for Vyvanse",this is exactly how elvanse made me feel i also have anxiety issues but it got more manageable while it was active but even after weeks and a dosage change the crash persisted it might just not be the best for you i took concerta for the first time today exactly because of that elvanse wasnt for me edit elvanse is the european name for vyvanse,['drug ineffective']
320,concerta,"i FEEL you. I took 2 semesters off bc my shit was out of control, I was literally failing multiple classes for constant dumb stuff like doing an assignment and moving on to the next thing so fast I’d forget to submit it. adhd is fr such a struggle. Finally starting classes again this spring now that I found the loml (vyvanse). stoked for you, you def made the right move reaching out for some help",i feel you i took semesters off bc my shit was out of control i was literally failing multiple classes for constant dumb stuff like doing an assignment and moving on to the next thing so fast id forget to submit it adhd is fr such a struggle finally starting classes again this spring now that i found the loml vyvanse stoked for you you def made the right move reaching out for some help,[]
321,concerta,"It might turn out that Concerta isn't the drug for you since side effects on 18mg isn't a good sign, but listen to your doctor (and talk to them) and stick it out for a week or two.  The anxiety often goes away.

The appetite suppressant is more than likely going to stay, though.",it might turn out that concerta isnt the drug for you since side effects on mg isnt a good sign but listen to your doctor and talk to them and stick it out for a week or two the anxiety often goes away the appetite suppressant is more than likely going to stay though,['drug ineffective']
324,concerta,"heyyy :) I was on 60mg Elvanse but I actually completely stopped taking it since around May(?) due to how bad the crash was (was starting to get depressive thoughts), I don't know if that will affect tolerance or not, Elvanse only lasted 5 hours tops for me, I'm hoping Concerta will last longer

I only got my official diagnosis last Monday (finally 😭) and that's why I'm starting Concerta now, yesterday I messed up cause I got the generic version 💀 so today is my actual first day of taking it

I definetely think the dose is too low for me (18mg) because it's barely doing anything but I can tell that the side-effects will probably be less harsh than with Elvanse, even when I up my dose, because I'm only feeling bad anxiety (I already have anxiety issues so I think any meds will make it bad), not as bad as with Elvanse, and some really mild nausea and headache, which is definitely being worsened by the fact that my eating and hydration habits have been absolutely abysmal and I haven't worked out in months

you can dm me if you want, I'll make sure to keep you updated!",heyyy i was on mg elvanse but i actually completely stopped taking it since around may due to how bad the crash was was starting to get depressive thoughts i dont know if that will affect tolerance or not elvanse only lasted hours tops for me im hoping concerta will last longer i only got my official diagnosis last monday finally and thats why im starting concerta now yesterday i messed up cause i got the generic version so today is my actual first day of taking it i definetely think the dose is too low for me mg because its barely doing anything but i can tell that the side effects will probably be less harsh than with elvanse even when i up my dose because im only feeling bad anxiety i already have anxiety issues so i think any meds will make it bad not as bad as with elvanse and some really mild nausea and headache which is definitely being worsened by the fact that my eating and hydration habits have been absolutely abysmal and i havent worked out in months you can dm me if you want ill make sure to keep you updated,[]
